source,name,price,price_type,seller,link,scraped_at
gem,Letterprint 40 pages Minute register of …,40.00,fixed,Resellers,https://mkp.gem.gov.in/register-v2/supplementary-service-book-40-pages/p-5116877-43663556503-cat.html,2026-09-21T09:00:34.819770+00:00
gem,Letterprint 50 pages Minute register of …,40.25,fixed,Resellers,https://mkp.gem.gov.in/register-v2/cpwa-35-register-site-combined/p-5116877-28493411877-cat.html,2026-09-21T09:00:34.819811+00:00
gem,Letterprint 120 pages Minute register of …,50.00,fixed,Resellers,https://mkp.gem.gov.in/register-v2/csrc-s-ii-register/p-5116877-59891474313-cat.html,2026-09-21T09:00:34.819822+00:00
gem,Letterprint 200 pages Ledger Book of Colour …,50.00,fixed,Resellers,https://mkp.gem.gov.in/register-v2/ilh-form-no-20-priced-stores-ledger/p-5116877-57103745736-cat.html,2026-09-21T09:00:34.819843+00:00
gem,Letterprint 80 pages Minute register of …,60.00,fixed,Resellers,https://mkp.gem.gov.in/register-v2/note-pad-80-pages/p-5116877-57324093605-cat.html,2026-09-21T09:00:34.819850+00:00
