source,name,price,seller,link,scraped_at,searched_for_gem_id,searched_for_gem_link
flipkart,Ubitter UB-STLEN-18W Street Light Outdoor Lamp Black,552,,https://www.flipkart.com/ubitter-ub-stlen-18w-street-light-outdoor-lamp/p/itm225b3ee313067,2026-09-21T09:26:07.281202+00:00,329,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/road-street-light-18watt/p-5116877-91041287465-cat.html
flipkart,SONSHIV SONSHIV ADJUSTABLE PANEL LIGHT 18W 18W Ceiling ... White,1761,,https://www.flipkart.com/sonshiv-adjustable-panel-light-18w-ceiling-lamp/p/itm4d6e2c7c3e641,2026-09-21T09:26:07.281228+00:00,329,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/road-street-light-18watt/p-5116877-91041287465-cat.html
flipkart,SCHEIN 20W LED Street Light – BIS Approved (R-97001945)... White 4.2 (100),242,,https://www.flipkart.com/schein-20w-led-street-light-bis-approved-r-97001945-ip66-waterproof-iso-certified-energy-saving-outdoor-lamp-home-garden-garage-commercial-use-pack-1/p/itm6eea5d4cfacda,2026-09-21T09:26:07.281235+00:00,329,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/road-street-light-18watt/p-5116877-91041287465-cat.html
flipkart,SCHEIN Aurastar 72W CityBeam LED Street Light | Long Li... Black 3.6 (94),438,,https://www.flipkart.com/schein-aurastar-72w-citybeam-led-street-light-long-life-lightweight-rust-free-plastic-body-outdoor-parking-road-pack-1-lamp/p/itmc633920d38b07,2026-09-21T09:26:07.281240+00:00,329,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/road-street-light-18watt/p-5116877-91041287465-cat.html
flipkart,EVEREADY 100W|IP66 waterproof|High Surge Protection|Alu... Black 4 (141),1835,,https://www.flipkart.com/eveready-100w-ip66-waterproof-high-surge-protection-aluminium-body-2-year-warranty-flood-light-outdoor-lamp/p/itme16f92dc23083,2026-09-21T09:26:07.281246+00:00,329,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/road-street-light-18watt/p-5116877-91041287465-cat.html
flipkart,HALONIX 30W Lumin Waterproof Street light White Street ... White 4.2 (66),773,,https://www.flipkart.com/halonix-30w-lumin-waterproof-street-light-white-outdoor-lamp/p/itmcc0e0458878bc,2026-09-21T09:26:25.291656+00:00,330,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-30-watt-led-street-light/p-5116877-93757071720-cat.html
flipkart,Magik Stellar Pro 30W LED Street Light | Outdoor Street... White 4.7 (3),777,,https://www.flipkart.com/magik-stellar-pro-30w-led-street-light-outdoor-road-ip65-waterproof-energy-saving-4kv-surge-protection-lamp/p/itm82e69201cd000,2026-09-21T09:26:25.291694+00:00,330,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-30-watt-led-street-light/p-5116877-93757071720-cat.html
flipkart,Sauran 30w Heavy Duty LED Street Light Waterproof Surge... Grey,1406,,https://www.flipkart.com/sauran-30w-heavy-duty-led-street-light-waterproof-surge-protection-focus-lsl21-1-outdoor-lamp/p/itmaeb77622a6159,2026-09-21T09:26:25.291703+00:00,330,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-30-watt-led-street-light/p-5116877-93757071720-cat.html
flipkart,SCHEIN Amaze Series 30W LED GREEN Flood Light | Pack Of... Green 4.1 (9),336,,https://www.flipkart.com/schein-amaze-series-30w-led-green-flood-light-pack-1-plastic-body-42-high-brightness-leds-output-long-life-energy-efficient-2-5kv-surge-protection-outdoor-lamp/p/itmffe68300c1726,2026-09-21T09:26:25.291710+00:00,330,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-30-watt-led-street-light/p-5116877-93757071720-cat.html
flipkart,PE 36W BIS approved PC Body LED Street Light With Wall ... White 4 (12),5199,,https://www.flipkart.com/pe-36w-bis-approved-pc-body-led-street-light-wall-clamp-2-year-warranty-pack-10-outdoor-lamp/p/itm0991095a802b9,2026-09-21T09:26:25.291718+00:00,330,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-30-watt-led-street-light/p-5116877-93757071720-cat.html
