source,name,price,price_type,seller,link,scraped_at
gem,SP ENTERPRISES M/S S. P. ENTERPRISES Wall …,3500.00,fixed,Resellers,https://mkp.gem.gov.in/metal-storage-cabinet/metal-storage-cabinet/p-5116877-60071770464-cat.html,2026-09-21T09:01:26.241076+00:00
gem,Unbranded Swaha Industrial Syndicate Wall …,4000.00,fixed,OEM,https://mkp.gem.gov.in/metal-storage-cabinet/metal-storage-cabinet/p-5116877-93222394962-cat.html,2026-09-21T09:01:26.241121+00:00
gem,FLINT Wall Mounted Storage Unit With door …,4800.00,fixed,OEM,https://mkp.gem.gov.in/metal-storage-cabinet/wall-side-cabinet/p-5116877-62336815611-cat.html,2026-09-21T09:01:26.241136+00:00
gem,Unbranded GANPATI ENGINEERING WORKS Floor …,4999.00,fixed,Resellers,https://mkp.gem.gov.in/metal-storage-cabinet/floor-standing-storage-unit-with-door-with-mild/p-5116877-71471774736-cat.html,2026-09-21T09:01:26.241147+00:00
gem,Divyansh Floor Standing Storage Unit With …,5000.00,fixed,OEM,https://mkp.gem.gov.in/metal-storage-cabinet/metal-storage-cabinet/p-5116877-45854873829-cat.html,2026-09-21T09:01:26.241158+00:00
