source,name,price,price_type,seller,link,scraped_at
gem,L C PRINTS LANDMARK COMPUTER PRINTS 1.18 …,170.00,fixed,Resellers,https://mkp.gem.gov.in/plain-copier-paper-v3-isi-marked-14490/a5-75-gsm-lc-prints-brand/p-5116877-55797022140-cat.html,2026-09-21T08:59:56.564938+00:00
gem,L C PRINTS LANDMARK COMPUTER PRINTS 1.16 …,170.00,fixed,Resellers,https://mkp.gem.gov.in/plain-copier-paper-v3-isi-marked-14490/a5-75-gsm/p-5116877-46143275774-cat.html,2026-09-21T08:59:56.564975+00:00
gem,L C PRINTS LANDMARK COMPUTER PRINTS 1.19 …,170.00,fixed,Resellers,https://mkp.gem.gov.in/plain-copier-paper-v3-isi-marked-14490/a5-75-gsm/p-5116877-70233871248-cat.html,2026-09-21T08:59:56.564988+00:00
gem,KBCS K B Computer Stationery 1.09 kilogram …,170.00,fixed,Resellers,https://mkp.gem.gov.in/plain-copier-paper-v3-isi-marked-14490/plain-copier-paper/p-5116877-11727969311-cat.html,2026-09-21T08:59:56.564998+00:00
gem,L C PRINTS LANDMARK COMPUTER PRINTS 4980 …,170.00,fixed,Resellers,https://mkp.gem.gov.in/plain-copier-paper-v3-isi-marked-14490/a3-80-gsm-landmark-brand/p-5116877-23135003312-cat.html,2026-09-21T08:59:56.565008+00:00
