source,name,price,price_type,seller,link,scraped_at
gem,Unbranded Bearing Steel Polished Fan …,20.00,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/bearing/p-5116877-64595418525-cat.html,2026-09-21T09:02:09.249970+00:00
gem,Unbranded Bearing Steel Polished Fan …,22.99,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/hrb-bearing-6201zz/p-5116877-37016787946-cat.html,2026-09-21T09:02:09.250015+00:00
gem,Unbranded Bearing Steel Polished Fan …,25.00,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/bearing/p-5116877-27206842234-cat.html,2026-09-21T09:02:09.250029+00:00
gem,Unbranded Bearing Steel Polished Fan …,25.99,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/ball-bearing-6001zz/p-5116877-78669938317-cat.html,2026-09-21T09:02:09.250040+00:00
gem,Unbranded Bearing Steel Powder Coated Fan …,28.50,fixed,Resellers,https://mkp.gem.gov.in/fan-bearing/bearing/p-5116877-95552661025-cat.html,2026-09-21T09:02:09.250051+00:00
