source,name,price,price_type,seller,link,scraped_at
gem,"SUN ENERGY INDIA ENTERPRISES 18 Watt, LED …",500.00,fixed,OEM,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/road-street-light-18watt/p-5116877-91041287465-cat.html,2026-09-21T09:01:49.939671+00:00
gem,"AgniLux SAI ENTERPRISES 30 Watt, LED …",500.00,fixed,OEM,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-30-watt-led-street-light/p-5116877-93757071720-cat.html,2026-09-21T09:01:49.939704+00:00
gem,"AgniLux SAI ENTERPRISES 36 Watt, LED …",500.00,fixed,OEM,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-36-watt-led-street-light/p-5116877-29150478351-cat.html,2026-09-21T09:01:49.939725+00:00
gem,"AgniLux SAI ENTERPRISES 24 Watt, LED …",500.00,fixed,OEM,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-24-watt-led-street-light/p-5116877-85351625830-cat.html,2026-09-21T09:01:49.939734+00:00
gem,"Dreamlux 24 Watt, LED Luminaire For Road And …",500.00,fixed,OEM,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/dreamlux-24w-led-street-light-luminaire-high-efficiency/p-5116877-65762047060-cat.html,2026-09-21T09:01:49.939744+00:00
