source,name,price,seller,link,scraped_at,searched_for_gem_id,searched_for_gem_link
flipkart,Ubitter UB-STLEN-18W Street Light Outdoor Lamp Black,552,,https://www.flipkart.com/ubitter-ub-stlen-18w-street-light-outdoor-lamp/p/itm225b3ee313067,2026-09-21T09:03:50.015824+00:00,329,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/road-street-light-18watt/p-5116877-91041287465-cat.html
flipkart,"Voltech Engineerings street-light-18w-rd1 Flood Light O... White, Black 3.9 (15)",789,,https://www.flipkart.com/voltech-engineerings-street-light-18w-rd1-flood-light-outdoor-lamp/p/itm7503bb356827b,2026-09-21T09:03:50.015864+00:00,329,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/road-street-light-18watt/p-5116877-91041287465-cat.html
flipkart,PE 18W Bulkhead Street Wall Light Pack of 2 Gate Light ... White 3.8 (22),467,,https://www.flipkart.com/pe-18w-bulkhead-street-wall-light-pack-2-gate-outdoor-lamp/p/itm9abe2a0d9896a,2026-09-21T09:03:50.015901+00:00,329,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/road-street-light-18watt/p-5116877-91041287465-cat.html
flipkart,D'Mak 18watt/ww/sld/4-PACK Flood Light Outdoor Lamp Grey,3476,,https://www.flipkart.com/d-mak-18watt-ww-sld-4-pack-flood-light-outdoor-lamp/p/itmb7db021458a31,2026-09-21T09:03:50.015910+00:00,329,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/road-street-light-18watt/p-5116877-91041287465-cat.html
flipkart,"Flipkart SmartBuy 50W DOB BIS Approved PC Body LED Floo... White 4 (1,109)",441,,https://www.flipkart.com/flipkart-smartbuy-50w-dob-bis-approved-pc-body-led-flood-halogen-2-year-warranty-street-light-outdoor-lamp/p/itm1c09afdd65509,2026-09-21T09:03:50.015919+00:00,329,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/road-street-light-18watt/p-5116877-91041287465-cat.html
flipkart,HALONIX 30W Lumin Waterproof Street light White Street ... White 4.2 (66),773,,https://www.flipkart.com/halonix-30w-lumin-waterproof-street-light-white-outdoor-lamp/p/itmcc0e0458878bc,2026-09-21T09:04:08.919530+00:00,330,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-30-watt-led-street-light/p-5116877-93757071720-cat.html
flipkart,"mshine 30W LED Street Light Street Light Outdoor Lamp Black, White",726,,https://www.flipkart.com/mshine-30w-led-street-light-outdoor-lamp/p/itm4f6bce66262ec,2026-09-21T09:04:08.919558+00:00,330,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-30-watt-led-street-light/p-5116877-93757071720-cat.html
flipkart,STELIX LED Rigal 30W LED Flood Light IP66 Waterproof (P... White,970,,https://www.flipkart.com/stelix-led-rigal-30w-flood-light-ip66-waterproof-pack-1-outdoor-lamp/p/itm4001a712f0c3c,2026-09-21T09:04:08.919564+00:00,330,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-30-watt-led-street-light/p-5116877-93757071720-cat.html
flipkart,Sauran 30w Heavy Duty LED Street Light Waterproof Surge... Grey,1406,,https://www.flipkart.com/sauran-30w-heavy-duty-led-street-light-waterproof-surge-protection-focus-lsl1-1-outdoor-lamp/p/itmbbb55a3f743ab,2026-09-21T09:04:08.919569+00:00,330,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-30-watt-led-street-light/p-5116877-93757071720-cat.html
flipkart,"Jeko Durable 50W BIS Certified LED Street Light - Water... Black 4.2 (1,891)",383,,https://www.flipkart.com/jeko-durable-50w-bis-certified-led-street-light-waterproof-outdoor-corded-lamp-streets-parking-lots/p/itmbc784b1cb9ff0,2026-09-21T09:04:08.919574+00:00,330,https://mkp.gem.gov.in/led-luminaire-road-street-lights-conforming-10322-part/agnilux-30-watt-led-street-light/p-5116877-93757071720-cat.html
