gem_id,gem_name,gem_slug,gem_price,query_primary,query_fallback,fk_name,fk_price,similarity,scorer,matched,cosine_ok,model_token_match,pack_match,gem_tokens,fk_tokens,gem_pack,fk_pack,decision,reason
7,ProDot Wired Computer Mouse,prodot-mu-curvy-usb-wired,250.0,prodot mu curvy usb wired,prodot mu curvy,PRODOT 217 Mini Wired Keyboard And Mouse Combo With USB... Black 3.5 (42),554.0,0.7926,embedding,NO,True,False,False,curvy mu,17 2 217 42,1,bundle,REJECT,"no model token overlap ({'curvy', 'mu'} vs {'17', '42', '217', '2'}); pack mismatch (gem=1 vs fk=bundle)"
7,ProDot Wired Computer Mouse,prodot-mu-curvy-usb-wired,250.0,prodot mu curvy usb wired,prodot mu curvy,"PRODOT 253 PS2 Wired Ambidextrous Optical Mouse PS/2, Black 4 (15)",246.0,0.7197,embedding,NO,True,False,True,curvy mu,15 253 5 53,1,1,REJECT,"no model token overlap ({'curvy', 'mu'} vs {'253', '5', '15', '53'})"
7,ProDot Wired Computer Mouse,prodot-mu-curvy-usb-wired,250.0,prodot mu curvy usb wired,prodot mu curvy,PRODOT USB HUB PLAY PLUS DIC-USB_HUB-4_1P USB Hub Black 3.8 (67),224.0,0.5894,embedding,NO,False,False,True,curvy mu,1p 67 7 dic play,1,1,REJECT,"cosine 0.589 < 0.6; no model token overlap ({'curvy', 'mu'} vs {'67', '1p', 'play', 'dic', '7'})"
7,ProDot Wired Computer Mouse,prodot-mu-curvy-usb-wired,250.0,prodot mu curvy usb wired,prodot mu curvy,"PRODOT DIC-MU-253s-MAP-02 Wired Right Handed Optical Mo... USB 2.0, Black 3.6 (88)",199.0,0.5431,embedding,NO,False,True,True,curvy mu,02 2 253s 88 dic handed map mo mu right,1,1,REJECT,cosine 0.543 < 0.6
7,ProDot Wired Computer Mouse,prodot-mu-curvy-usb-wired,250.0,prodot mu curvy usb wired,prodot mu curvy,PRODOT Hindi Devanagari (English to HIndi Typing)| with... Black 3.9 (202),525.0,0.2375,embedding,NO,False,False,True,curvy mu,02 202 devanagari english hindi typing,1,1,REJECT,"cosine 0.238 < 0.6; no model token overlap ({'curvy', 'mu'} vs {'typing', '202', 'devanagari', 'english', '02', 'hindi'})"
8,hp Wireless Computer Mouse,hp-115-wireless-mouse-india,256.0,hp 115 wireless mouse,hp 115 wireless,"HP M290 Wireless Ambidextrous Optical Mouse Mode Switch... 4.1 (1,868)",498.0,0.5457,embedding,NO,False,False,True,115,290 68 868 m290 mode,1,1,REJECT,"cosine 0.546 < 0.6; no model token overlap ({'115'} vs {'68', '290', 'm290', '868', 'mode'})"
9,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,600.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,ZEBRONICS Zeb-K20 Keyboard and Zeb comfort mouse Plus c... 3.8 (87),498.0,0.6141,embedding,NO,True,False,False,receiver,20 7 87 comfort k20 zeb,bundle,1,REJECT,"no model token overlap ({'receiver'} vs {'k20', 'comfort', '20', '87', 'zeb', '7'}); pack mismatch (gem=bundle vs fk=1)"
9,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,600.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,ZEBRONICS KEYBOARD K-65 AND MOUSE COMFORT+ Combo Set De... 2.8 (6),494.0,0.5822,embedding,NO,False,False,True,receiver,5 65 comfort de,bundle,bundle,REJECT,"cosine 0.582 < 0.6; no model token overlap ({'receiver'} vs {'comfort', '65', '5', 'de'})"
9,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,600.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Transformer Pro Wireless Standard Gaming Keyb... 4.2 (3,823)",1799.0,0.4467,embedding,NO,False,False,False,receiver,23 823 keyb transformer,bundle,1,REJECT,"cosine 0.447 < 0.6; no model token overlap ({'receiver'} vs {'transformer', '823', '23', 'keyb'}); pack mismatch (gem=bundle vs fk=1)"
9,ZEBRONICS Bluetooth (with USB Receiver) …,wireless-keyboard-mouse-combo,600.0,zebronics wireless keyboard mouse combo,zebronics wireless keyboard,"ZEBRONICS Transformer (ZEB KMC 10) Wired USB Standard L... 4.4 (31,372)",1422.0,0.4265,embedding,NO,False,False,False,receiver,0 1 10 31 372 72 kmc transformer zeb,bundle,1,REJECT,"cosine 0.427 < 0.6; no model token overlap ({'receiver'} vs {'0', '10', 'kmc', 'zeb', '31', '72', 'transformer', '372', '1'}); pack mismatch (gem=bundle vs fk=1)"
