2026-09-21 22:59:35,722 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 10 cards, +5 new (total 5)
2026-09-21 22:59:39,242 | INFO     | gem_price.api.main | match_gem_url:167 | Total unique Flipkart results: 9
2026-09-21 22:59:39,242 | INFO     | gem_price.api.main | match_gem_url:167 | Total unique Flipkart results: 9
2026-09-21 22:59:39,388 | INFO     | gem_price.api.main | match_gem_url:123 | Cache hit for GeM product: L C PRINTS LANDMARK COMPUTER PRINTS 1.18 …
2026-09-21 22:59:39,388 | INFO     | gem_price.api.main | match_gem_url:123 | Cache hit for GeM product: L C PRINTS LANDMARK COMPUTER PRINTS 1.18 …
2026-09-21 22:59:39,389 | INFO     | gem_price.api.main | match_gem_url:145 | Detected category: stationery (confidence: 0.85)
2026-09-21 22:59:39,389 | INFO     | gem_price.api.main | match_gem_url:145 | Detected category: stationery (confidence: 0.85)
2026-09-21 22:59:39,389 | INFO     | gem_price.api.main | match_gem_url:149 | Built 1 search queries: ['a5 75 gsm lc prints brand']
2026-09-21 22:59:39,389 | INFO     | gem_price.api.main | match_gem_url:149 | Built 1 search queries: ['a5 75 gsm lc prints brand']
2026-09-21 22:59:39,390 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'a5 75 gsm lc prints brand'
2026-09-21 22:59:39,390 | INFO     | gem_price.api.main | match_gem_url:156 | Searching Flipkart: 'a5 75 gsm lc prints brand'
2026-09-21 22:59:50,697 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 10 cards, +5 new (total 5)
2026-09-21 22:59:50,697 | INFO     | gem_price.scrapers.flipkart | scrape_flipkart:213 | page 1: parsed 10 cards, +5 new (total 5)
2026-09-21 22:59:54,034 | INFO     | gem_price.api.main | match_gem_url:167 | Total unique Flipkart results: 5
2026-09-21 22:59:54,034 | INFO     | gem_price.api.main | match_gem_url:167 | Total unique Flipkart results: 5
2026-09-21 22:59:54,136 | INFO     | gem_price.api.main | match_gem_url:123 | Cache hit for GeM product: SP ENTERPRISES M/S S. P. ENTERPRISES Wall …
2026-09-21 22:59:54,136 | INFO     | gem_price.api.main | match_gem_url:123 | Cache hit for GeM product: SP ENTERPRISES M/S S. P. ENTERPRISES Wall …
2026-09-21 22:59:54,138 | INFO     | gem_price.api.main | match_gem_url:145 | Detected category: furniture (confidence: 0.8)
2026-09-21 22:59:54,138 | INFO     | gem_price.api.main | match_gem_url:145 | Detected category: furniture (confidence: 0.8)
2026-09-21 22:59:54,138 | INFO     | gem_price.api.main | match_gem_url:149 | Built 3 search queries: ['Door FLINT', 'FLINT Wall Mounted Metal Storage Cabinet', 'metal storage cabinet']
2026-09-21 22:59:54,138 | INFO     | gem_price.api.main | match_gem_url:149 | Built 3 search queries: ['Door FLINT', 'FLINT Wall Mounted Metal Storage Cabinet', 'metal storage cabinet']
